State,Country,Latitude,Longtitude,Confirmed,Deaths,Recovered,Active,Fatality Ratio
,Afghanistan,33.93911,67.709953,38883,1437,32576,4870,3.695702492
,Albania,41.1533,20.1683,12073,353,6831,4889,2.923879732
,Algeria,28.0339,1.6596,49413,1659,34818,12936,3.357416065
,Andorra,42.5063,1.5218,1564,53,1164,347,3.388746803
,Angola,-11.2027,17.8739,3848,147,1443,2258,3.82016632
,Antigua and Barbuda,17.0608,-61.7964,95,3,92,0,3.157894737
,Argentina,-38.4161,-63.6167,613658,12656,467286,133716,2.062386541
,Armenia,40.0691,45.0382,46910,926,42369,3615,1.973992752
Australian Capital Territory,Australia,-35.4735,149.0124,113,3,110,0,2.654867257
New South Wales,Australia,-33.8688,151.2093,4198,52,2994,1152,1.238685088
Northern Territory,Australia,-12.4634,130.8456,33,0,31,2,0
Queensland,Australia,-27.4698,153.0251,1150,6,1118,26,0.52173913
South Australia,Australia,-34.9285,138.6007,466,4,462,0,0.858369099
Tasmania,Australia,-42.8821,147.3272,230,13,217,0,5.652173913
Victoria,Australia,-37.8136,144.9631,20034,757,18278,999,3.77857642
Western Australia,Australia,-31.9505,115.8605,661,9,649,3,1.361573374
,Austria,47.5162,14.5501,36661,763,28451,7447,2.081230736
,Azerbaijan,40.1431,47.5769,38894,572,36424,1898,1.470663856
,Bahamas,25.025885,-78.035889,3177,69,1626,1482,2.171860246
,Bahrain,26.0275,50.55,63879,220,56700,6959,0.344401133
,Bangladesh,23.685,90.3563,345805,4881,252335,88589,1.411489134
,Barbados,13.1939,-59.5432,185,7,172,6,3.783783784
,Belarus,53.7098,27.9534,75230,773,73098,1359,1.027515619
,Belgium,50.8333,4.469936,99649,9937,18908,70804,9.972001726
,Belize,17.1899,-88.4976,1590,20,812,758,1.257861635
,Benin,9.3077,2.3158,2280,40,1950,290,1.754385965
,Bhutan,27.5142,90.4336,252,0,182,70,0
,Bolivia,-16.2902,-63.5887,130051,7550,88457,34044,5.805414799
,Bosnia and Herzegovina,43.9159,17.6791,24897,752,17365,6780,3.02044423
,Botswana,-22.3285,24.6849,2567,13,624,1930,0.506427737
Acre,Brazil,-9.0238,-70.812,26942,647,24130,2165,2.401454977
Alagoas,Brazil,-9.5713,-36.782,83298,2008,79987,1303,2.410622104
Amapa,Brazil,0.902,-52.003,46601,690,34878,11033,1.480654922
Amazonas,Brazil,-3.4168,-65.8561,130359,3950,108692,17717,3.030093818
Bahia,Brazil,-12.5797,-41.7007,292019,6181,278490,7348,2.116643095
Ceara,Brazil,-5.4984,-39.3206,232602,8790,206192,17620,3.778987283
Distrito Federal,Brazil,-15.7998,-47.8645,181919,3037,168653,10229,1.669424304
Espirito Santo,Brazil,-19.1834,-40.3089,123272,3404,113099,6769,2.761373223
Goias,Brazil,-15.827,-49.8362,180926,4092,170613,6221,2.261698153
Maranhao,Brazil,-4.9609,-45.2744,166580,3632,157198,5750,2.180333774
